Name,Price,Shadow Size,Swimming Pattern,Time
Abalone,2000,Medium,Moderate consistent movement,4pm - 9am
Acorn barnacle,600,Tiny,Stationary,All day
Chambered nautilus,1800,Medium,Slow,4pm - 9am
Firefly squid,1400,Tiny,Moderate short lunges,9pm - 4am
Gazami crab,2200,Medium,Slow consistent movement,All day
Gigas giant clam,15000,Huge,Fast consistent movement,All day
Lobster,4500,Large,Quick,All day
Mantis shrimp,2500,Small,Quick short lunges,4pm - 9am
Mussel,1500,Small,Slow consistent movement,All day
Octopus,1200,Medium,Slow long lunges,All day
Pearl oyster,2800,Small,Moderate long lunges,All day
Scallop,1200,Medium,Slow long lunges,All day
Sea anemone,500,Large,Stationary,All day
Sea grapes,900,Small,Stationary,All day
Sea pineapple,1500,Small,Slow short lunges,All day
Sea slug,600,Tiny,Slow consistent movement,All day
Sea star,500,Small,Slow short lunges,All day
Sea urchin,1700,Small,Slow consistent movement,All day
Seaweed,600,Large,Stationary,All day
Slate pencil urchin,2000,Medium,Medium consistent movement,4pm - 9am
Spotted garden eel,1100,Small,Slow consistent movement,4am - 9pm
Tiger prawn,3000,Small,Moderate consistent movement,4pm - 9am
Vampire squid,10000,Medium,Quick long lunges,4pm - 9am
Whelk,1000,Small,Slow consistent movement,All day
