Pale chub, 200, River, Tiny, 9am - 4pm
Crucian carp, 160, River, Small, All day
Dace, 240, River, Medium-small, 4pm - 9am
Carp, 300, Pond, Medium-large, All day
Koi, 4000, Pond, Medium-large, 4pm - 9am
Goldfish, 1300, Pond, Tiny, All day
Pop-eyed goldfish, 1300, Pond, Tiny, 9am - 4pm
Ranchu goldfish, 4500, Pond, Small, 9am - 4pm
Killifish, 300, Pond, Tiny, All day
Crawfish, 200, Pond, Small, All day
Soft-shelled turtle, 3750, River, Medium-large, 4pm - 9am
Snapping Turtle, 5000, River, Large, 9pm - 4am
Frog, 120, Pond, Small, All day
Freshwater goby, 400, River, Small, 4pm - 9am
Catfish, 800, Pond, Medium-large, 4pm - 9am
Giant snakehead, 5500, Pond, Large, 9am - 4pm
Bluegill, 180, River, Small, 9am - 4pm
Black bass, 400, River, Medium-large, All day
Tilapia, 800, River, Medium-small, All day
Sweetfish, 900, River, Medium-small, All day
Guppy, 1300, River, Tiny, 9am - 4pm
Nibble fish, 1500, River, Tiny, 9am - 4pm
Angelfish, 3000, River, Small, 4pm - 9am
Betta, 2500, River, Small, 9am - 4pm
Neon tetra, 500, River, Tiny, 9am - 4pm
Rainbowfish, 800, River, Tiny, 9am - 4pm
Piranha, 2500, River, Small, 9am - 4pm & 9pm - 4am
Arowana, 10000, River, Medium-large, 4pm - 9am
Dorado, 15000, River, Large, 4am - 9pm
Gar, 6000, Pond, Huge, 4pm - 9am
Arapaima, 10000, River, Huge, 4pm - 9am
Saddled bichir, 4000, River, Medium-large, 9pm - 4am
Sea horse, 1100, Sea, Tiny, All day
Clown fish, 650, Sea, Tiny, All day
Surgeonfish, 1000, Sea, Small, All day
Butterfly fish, 1000, Sea, Small, All day
Napoleonfish, 10000, Sea, Huge, 4am - 9pm
Zebra turkeyfish, 500, Sea, Medium-small, All day
Puffer fish, 250, Sea, Medium-small, All day
Anchovy, 200, Sea, Small, 4am - 9pm
Horse mackerel, 150, Sea, Small, All day
Barred knifejaw, 5000, Sea, Medium-small, All day
Sea bass, 400, Sea, Large, All day
Red snapper, 3000, Sea, Medium-large, All day
Olive flounder, 800, Sea, Large, All day
Squid, 500, Sea, Medium-small, All day
Moray eel, 2000, Sea, Thin, All day
Ribbon eel, 600, Sea, Thin, All day
Blue marlin, 10000, Pier, Huge, All day
Giant trevally, 4500, Pier, Large, All day
Mahi-mahi, 6000, Pier, Large, All day
Ocean sunfish, 4000, Sea, Huge with fin, 4am - 9pm
Ray, 3000, Sea, Large, 4am - 9pm
Saw shark, 12000, Sea, Huge with fin, 4pm - 9am
Hammerhead shark, 8000, Sea, Huge with fin, 4pm - 9am
Great white shark, 15000, Sea, Huge with fin, 4pm - 9am
Whale shark, 13000, Sea, Huge with fin, All day
Suckerfish, 1500, Sea, Medium with fin, All day
Barreleye, 15000, Sea, Small, 9pm - 4am
Coelacanth, 15000, Sea (Raining), Huge, All day
